41214240;आज फेरि अर्को तन्ना फेरिन्छ ;Aaja Pheri Arko Tanna Pherincha;Ramesh Vikal;Vikal, Ramesh;रमेश विकल;9993326267;9789993326267;0;3,18;साझा प्रकाशन;Paperback;124;2007;;;2022/12/05;to-read;to-read (#266);to-read;;;;0;0
18052426;प्रत्येक ठाउँ : प्रत्येक मान्छे ;Pratyek Thau : Pratyek Manchhe;Peter J. Karthak;Karthak, Peter J.;पिटर जे. कार्थक;;9789937804660;0;3,65;Fine Print;Paperback;218;2008;1977;;2022/12/05;to-read;to-read (#264);to-read;;;;0;0
53859886;भोजपुरे हुलाकीका सन्तान ;Bhojpure Hulaki ka Santan;Shailendra Sakar;Sakar, Shailendra;शैलेन्द्र साकार;;9789937056526;0;0,0;निराला पव्लिकेशन्स;Paperback;209;;;;2022/12/05;to-read;to-read (#265);to-read;;;;0;0
23570207;Coma - a political sex;;Kumar Nagarkoti;Nagarkoti, Kumar;;;9789937280143;0;4,00;Ratna Pustak Bhandar;Paperback;;2014;2014;;2022/12/05;to-read;to-read (#263);to-read;;;;0;0
53913961;शैलेन्द्र साकारका कविता ;Shailendra Sakar ka Kavita;Shailendra Sakar;Sakar, Shailendra;शैलेन्द्र साकार;;;0;0,0;साझा प्रकाशन;Paperback;160;;;;2022/12/05;to-read;to-read (#261);to-read;;;;0;0
49197121;बिरानाे देशमा ;Birano Deshma;Ramesh Vikal;Vikal, Ramesh;रमेश विकल;;9789993327431;0;3,50;साझा प्रकाशन;Paperback;86;;;;2022/12/05;to-read;to-read (#262);to-read;;;;0;0
23570194;मोक्षान्त: काठमान्डु फिभर ;Mokshanta : Kathmandu Fever;Kumar Nagarkoti;Nagarkoti, Kumar;;;9789993308683;0;3,86;रत्न पुस्तक भण्डार;Paperback;265;2011;2011;;2022/12/05;to-read;to-read (#260);to-read;;;;0;0
54833259;निमित्त नायक ;Nimitta Nayak;Dhruba Chandra Gautam;Gautam, Dhruba Chandra;ध्रुवचन्द्र गौतम;;;0;0,0;केदार सुवेदी;Paperback;264;;;;2022/12/05;to-read;to-read (#258);to-read;;;;0;0
51824128;इन्साफ ;Insaaf;Bhim Nidhi Tiwari;Tiwari, Bhim Nidhi;भीमनिधि तिवारी;;;0;0,0;साझा प्रकाशन;Paperback;264;;;;2022/12/05;to-read;to-read (#259);to-read;;;;0;0
42075277;डापी ;Dapi;Dhruba Chandra Gautam;Gautam, Dhruba Chandra;ध्रुवचन्द्र गौतम;;9789993326243;0;3,00;साझा प्रकाशन;Paperback;290;2007;1977;;2022/12/05;to-read;to-read (#257);to-read;;;;0;0
58094587;अचानो ;Achano;Bhogendra Basnet;Basnet, Bhogendra;भोगेन्द्र बस्नेत;;;0;0,0;साझा प्रकाशन;;;;;;2022/12/05;to-read;to-read (#255);to-read;;;;0;0
21066129;लेखककी स्वास्नी ;Lekhak ki Swasni;Pragati Rai;Rai, Pragati;प्रगति राई;;9789937627023;0;2,71;Yamburi Book Point;Paperback;226;2013;2013;;2022/12/05;to-read;to-read (#256);to-read;;;;0;0
42080033;महत्ताहीन ;Mahattahin;Parijat;Parijat, Parijat;पारिजात;;9789937322850;0;3,46;साझा प्रकाशन;Paperback;91;;1968;;2022/12/05;to-read;to-read (#253);to-read;;;;0;0
55451683;संरक्षक ;Sanrakshak;Dhruba Chandra Gautam;Gautam, Dhruba Chandra;ध्रुवचन्द्र गौतम, Ramesh Gorkhali, रमेश गोर्खाली;;9789993325789;0;3,00;साझा प्रकाशन;Paperback;122;;;;2022/12/05;to-read;to-read (#254);to-read;;;;0;0
18579827;चकलेट ;Chaklet;Nayan Raj Pandey;Pandey, Nayan Raj;नयनराज पाण्डे;;9789937866361;0;3,12;Sangri-La;Paperback;166;2013;2013;;2022/12/05;to-read;to-read (#252);to-read;;;;0;0
58023873;क्यापिटल हिल ;Capital Hill;Rajav;Rajav, Rajav;राजव;;;0;0,0;अर्किड बुक्स;;;;;;2022/12/05;to-read;to-read (#251);to-read;;;;0;0
52465689;चकमन्नमा एकान्त ;Chakamannama Ekanta;Dhruba Chandra Gautam;Gautam, Dhruba Chandra;ध्रुवचन्द्र गौतम;;9789937332354;0;4,50;रत्न पुस्तक भण्डार;Paperback;176;;;;2022/12/05;to-read;to-read (#250);to-read;;;;0;0
42566655;पाताल प्रवास ;Patal Pravas;Taranath Sharma;Sharma, Taranath;तारानाथ शर्मा;;9789937712026;0;4,00;मञ्जरी पब्लिकेशन;Paperback;253;2018;1985;;2022/12/05;to-read;to-read (#249);to-read;;;;0;0
17558489;खेलौना ;Khelauna;Rajendra Thapa;Thapa, Rajendra;;;;0;2,69;Yamburi Book Point;Paperback;178;;2013;;2022/12/05;to-read;to-read (#248);to-read;;;;0;0
54621263;बेकारीमा उपन्यास ;Bekarima Upanyas;Rajav;Rajav, Rajav;राजव;;9789937866378;0;5,00;Sangri-La Books;Paperback;144;;;;2022/12/05;to-read;to-read (#247);to-read;;;;0;0
38617587;स्रष्टा र साहित्य ;Srasta ra Sahitya;Uttam Kunwar;Kunwar, Uttam;उत्तम कुँवर;;;0;4,50;साझा प्रकाशन;Paperback;354;;1966;;2022/12/05;to-read;to-read (#245);to-read;;;;0;0
55075122;ध्रुवचन्द्र गौतम : समग्र कथा ;Dhruba Chandra Gautam : Samagra Katha;Dhruba Chandra Gautam;Gautam, Dhruba Chandra;ध्रुवचन्द्र गौतम, Roshan Thapa 'Neerab', रोशन थापा 'नीरव';;;0;0,0;उपलब्धि साहित्य विकास उपसमिति;Paperback;656;;;;2022/12/05;to-read;to-read (#246);to-read;;;;0;0
54621754;कमरेड ड्राइभर ;Camrade Driver;Rajav;Rajav, Rajav;राजव;;9789937866323;0;5,00;Sangri-La Books;Paperback;105;;;;2022/12/05;to-read;to-read (#244);to-read;;;;0;0
44102320;लगन ;Lagan;Acchha Rai 'Rasik';'Rasik', Acchha Rai;अच्छा राई 'रसिक';;9789937712248;0;3,71;Manjari Publication;Paperback;276;2018;;;2022/12/05;to-read;to-read (#243);to-read;;;;0;0
42428045;शब्दातीत शान्तनु ;Shabdatit Shantanu;Banira Giri;Giri, Banira;वानीरा गिरि;999332311X;9789993323112;0;2,67;साझा प्रकाशन;Paperback;131;2003;;;2022/12/05;to-read;to-read (#242);to-read;;;;0;0
54621766;इतर जिल्लावासी ;Etar Jillabasi;Rajav;Rajav, Rajav;राजव;;;0;5,00;नेपाल राजकीय प्रज्ञा प्रतिष्ठान;Paperback;83;;;;2022/12/05;to-read;to-read (#241);to-read;;;;0;0
38617607;महाकवि देवकोटा ;Mahakabi Devkota;Nityaraj Pandey;Pandey, Nityaraj;नित्यराज पाण्डे;;9789993327929;0;5,00;साझा प्रकाशन;Paperback;215;;1960;;2022/12/05;to-read;to-read (#239);to-read;;;;0;0
